Wavelength	Counts
559.82	36069.75
560.18	35969.88
560.54	36032.00
560.91	36038.50
561.27	35632.50
561.63	35501.75
561.99	35352.63
562.35	35386.75
562.71	35437.88
563.07	34997.00
563.43	34995.00
563.79	34678.38
564.15	34752.00
564.51	34984.75
564.87	34647.88
565.24	34878.63
565.60	34743.50
565.96	34589.88
566.32	34668.00
566.68	34298.63
567.04	34654.00
567.40	34683.75
567.76	34729.25
568.12	34223.75
568.48	34504.00
568.84	34138.38
569.20	34278.75
569.56	34205.88
569.92	34809.00
570.28	34534.00
570.64	34737.00
571.00	34711.25
571.36	34824.88
571.72	34963.75
572.08	35008.13
572.44	34887.88
572.80	34736.13
573.16	34965.13
573.52	34936.75
573.88	35256.25
574.24	35674.63
574.59	35681.25
574.95	36022.50
575.31	35956.50
575.67	35905.25
576.03	35917.88
576.39	36222.63
576.75	36486.00
577.11	36556.75
577.47	37006.00
577.83	37269.88
578.19	36987.63
578.55	37157.88
578.90	37366.38
579.26	37540.75
579.62	37993.88
579.98	37962.88
580.34	38089.75
580.70	38087.13
581.06	38251.63
581.42	38204.25
581.77	38267.88
582.13	38590.63
582.49	38781.63
582.85	38808.13
583.21	38960.50
583.57	38690.75
583.93	38916.00
584.28	39330.88
584.64	39483.13
585.00	39272.88
585.36	39228.50
585.72	39105.88
586.07	39368.00
586.43	39301.63
586.79	39243.25
587.15	39316.25
587.51	39279.50
587.86	39402.88
588.22	39644.13
588.58	39160.88
588.94	39121.25
589.30	39085.75
589.65	39233.00
590.01	39428.75
590.37	39467.50
590.73	39257.75
591.08	39384.00
591.44	39300.13
591.80	39037.38
592.16	39072.88
592.51	39144.13
592.87	38512.75
593.23	38632.88
593.58	38462.00
593.94	38587.63
594.30	38506.13
594.66	38189.88
595.01	38310.38
595.37	38105.63
595.73	37907.63
596.08	37836.13
596.44	37685.25
596.80	37596.50
597.15	37309.50
597.51	37531.13
597.87	37091.13
598.22	36923.38
598.58	36928.88
598.94	36489.75
599.29	36519.25
599.65	36490.63
600.01	36605.50
600.36	36161.75
600.72	36276.75
601.08	36031.00
601.43	35528.13
601.79	35579.88
602.14	35839.50
602.50	35414.00
602.86	35546.50
603.21	35369.00
603.57	35059.25
603.92	34917.75
604.28	35140.38
604.64	34975.25
604.99	34737.75
605.35	34423.63
605.70	34383.00
606.06	34545.00
606.41	34571.13
606.77	34436.38
607.13	33912.00
607.48	33995.88
607.84	33898.88
608.19	33613.88
608.55	34046.50
608.90	33973.63
609.26	33537.25
609.61	33434.13
609.97	33328.13
610.32	33163.88
610.68	33250.50
611.03	33492.25
611.39	33262.13
611.74	33446.50
612.10	32846.63
612.45	32813.25
612.81	33054.00
613.16	32891.13
613.52	32696.63
613.87	32705.75
614.23	32858.00
614.58	32681.38
614.94	32570.50
615.29	32439.00
615.64	32281.13
616.00	32479.63
616.35	32387.88
616.71	32123.38
617.06	32048.75
617.42	32374.13
617.77	32149.75
618.13	31813.00
618.48	31840.00
618.83	31800.63
619.19	31891.13
619.54	31617.88
619.90	31554.63
620.25	31802.38
620.60	31332.13
620.96	31606.13
621.31	31205.63
621.66	31508.63
622.02	31320.25
622.37	31234.50
622.73	31158.38
623.08	30715.75
623.43	30926.50
623.79	30364.63
624.14	30612.00
624.49	30141.88
624.85	30265.50
625.20	29908.38
625.55	29905.63
625.91	29563.25
626.26	29746.50
626.61	29498.88
626.97	29637.50
627.32	29008.00
627.67	28946.38
628.02	28584.38
628.38	28815.00
628.73	28570.38
629.08	28093.00
629.44	27964.13
629.79	28045.50
630.14	27721.25
630.49	27747.50
630.85	27480.25
631.20	27333.00
631.55	27117.50
631.90	26532.25
632.26	26649.88
632.61	26133.75
632.96	26169.63
633.31	26215.50
633.66	25607.00
634.02	25461.88
634.37	25119.13
634.72	25215.25
635.07	24723.38
635.43	24931.75
635.78	24769.63
636.13	24578.00
636.48	24188.13
636.83	23749.75
637.18	23638.38
637.54	23388.88
637.89	23325.25
638.24	23414.13
638.59	23067.13
638.94	22985.25
639.29	22395.13
639.65	22054.13
640.00	21863.25
640.35	21897.88
640.70	22003.00
641.05	21363.50
641.40	21566.50
641.75	21384.50
642.10	20829.50
642.46	20771.63
642.81	20882.00
643.16	20232.50
643.51	20153.38
643.86	20322.88
644.21	19915.13
644.56	20003.25
644.91	19518.75
645.26	19590.25
645.61	19077.63
645.96	19068.50
646.32	18914.63
646.67	19027.25
647.02	18609.75
647.37	18371.38
647.72	18500.13
648.07	17954.50
648.42	18316.50
648.77	18183.25
649.12	17993.88
649.47	17763.38
649.82	17651.13
650.17	17440.75
650.52	17042.75
650.87	17304.38
651.22	17088.38
651.57	17135.13
651.92	16982.50
652.27	16902.25
652.62	16413.63
652.97	16357.13
653.32	16608.25
653.67	16552.00
654.02	16326.25
654.37	16034.75
654.72	16361.63
655.07	15790.50
655.42	15626.13
655.76	15574.25
656.11	15617.63
656.46	15594.38
656.81	15365.00
657.16	15307.38
657.51	15273.75
657.86	15141.25
658.21	15342.63
658.56	15395.50
658.91	15511.00
659.26	15052.88
659.61	14957.63
